,Threshold,Precision,Recall
0,0.0,0.10202817301930675,1.0
1,0.05263157894736842,0.1911694872442536,0.9407348481081887
2,0.10526315789473684,0.19368658399098082,0.9395913091035648
3,0.15789473684210525,0.20219423958433974,0.9364590066126386
4,0.21052631578947367,0.21080325855483317,0.930194401630786
5,0.2631578947368421,0.22271629270872143,0.921394123203898
6,0.3157894736842105,0.24094152534519506,0.9048873862675881
7,0.3684210526315789,0.26716460787130136,0.8785362700740814
8,0.42105263157894735,0.2897822445561139,0.8601402078257843
9,0.47368421052631576,0.3093405488418012,0.8412469547059116
10,0.5263157894736842,0.33516247261409937,0.8138517376820962
11,0.5789473684210527,0.36636748360693855,0.783373937254512
12,0.631578947368421,0.39671931956257594,0.7467309700193905
13,0.6842105263157894,0.43179187229635047,0.7047183413712524
14,0.7368421052631579,0.47629475528303955,0.6488340874061552
15,0.7894736842105263,0.5270220923863429,0.5740565803211853
16,0.8421052631578947,0.5842892318779653,0.48371699895589915
17,0.894736842105263,0.6588634903148811,0.3568338885298066
18,0.9473684210526315,0.7699285321605278,0.13926316312832496
19,1.0,,0.0
