,Threshold,Precision,Recall
0,0.0,0.10226480570297514,1.0
1,0.05263157894736842,0.19131850683172022,0.9405359717595585
2,0.10526315789473684,0.19413734999178037,0.9394421518420922
3,0.15789473684210525,0.20304678059727257,0.9357132203052752
4,0.21052631578947367,0.21226217083990426,0.930194401630786
5,0.2631578947368421,0.22479744421364625,0.9201014269378014
6,0.3157894736842105,0.24727048843891092,0.898573062198578
7,0.3684210526315789,0.2765833359604048,0.8724208223537016
8,0.42105263157894735,0.2955021819056455,0.8551682991100283
9,0.47368421052631576,0.3163395984782854,0.8351315069855317
10,0.5263157894736842,0.34491051097065273,0.8057972455625715
11,0.5789473684210527,0.3748672395481317,0.7721374235569035
12,0.631578947368421,0.40586474835946296,0.7349475463630488
13,0.6842105263157894,0.44465752548982007,0.6916919405359717
14,0.7368421052631579,0.48708938120702827,0.6340177994332024
15,0.7894736842105263,0.5349950711167442,0.5666484363347088
16,0.8421052631578947,0.5860913280268119,0.486899020533983
17,0.894736842105263,0.6615499116196856,0.35355242877740767
18,0.9473684210526315,0.7770034843205574,0.12196092079749415
19,1.0,,0.0
