,street_name,street_type,center_long,center_lat,center_dummy,coord_long,coord_lat,coord_dummy
0,Chemin de la Plage,Secondary,-73.9447708,45.463237,0 ,-73.9457369,45.4625366,0
1,Chemin de la Plage,Secondary,-73.9447708,45.463237,0 ,-73.9455778,45.4624383,0
2,Chemin de la Plage,Secondary,-73.9447708,45.463237,0 ,-73.9453933,45.4624075,0
3,Chemin de la Plage,Secondary,-73.9447708,45.463237,0 ,-73.945242,45.4624261,0
4,Chemin de la Plage,Secondary,-73.9447708,45.463237,0 ,-73.9450616,45.4625123,0
5,Chemin de la Plage,Secondary,-73.9447708,45.463237,0 ,-73.9449573,45.4626522,0
6,Chemin de la Plage,Secondary,-73.9447708,45.463237,0 ,-73.9448134,45.4631656,0
7,Chemin de la Plage,Secondary,-73.9447708,45.463237,0 ,-73.9447515,45.4632693,0
8,Chemin de la Plage,Secondary,-73.9447708,45.463237,0 ,-73.9451081,45.463232,0
9,Chemin de la Plage,Secondary,-73.9447708,45.463237,0 ,-73.9453362,45.4631591,0
10,Chemin de la Plage,Secondary,-73.9447708,45.463237,0 ,-73.9455242,45.4630324,0
11,Chemin de la Plage,Secondary,-73.9447708,45.463237,0 ,-73.9457022,45.4629102,0
12,Chemin de la Plage,Secondary,-73.9447708,45.463237,0 ,-73.94583,45.4627522,0
13,Chemin de la Plage,Secondary,-73.9447708,45.463237,0 ,-73.9457935,45.4626399,0
14,Chemin de la Plage,Secondary,-73.9447708,45.463237,0 ,-73.9457369,45.4625366,0
15,Chemin de la Plage,Secondary,-73.9443995,45.4634006,0 ,-73.9440377,45.4633847,0
16,Chemin de la Plage,Secondary,-73.9443995,45.4634006,0 ,-73.9441141,45.4634203,0
17,Chemin de la Plage,Secondary,-73.9443995,45.4634006,0 ,-73.9442362,45.4634379,0
18,Chemin de la Plage,Secondary,-73.9443995,45.4634006,0 ,-73.9443611,45.4634149,0
19,Chemin de la Plage,Secondary,-73.9443995,45.4634006,0 ,-73.9447515,45.4632693,0
