Threshold,Precision,Recall,False positive rate,Accuracy,F1 Score,True negative percentage,True positive percentage,False negative percentage,False positive percentage
0.05,0.16370365123773772,0.9193059215432805,0.26575397964179004,0.744157189379758,0.2779176467935759,0.6949223399467976,0.049234849432960456,0.004321696085975923,0.251521114534266
0.1,0.22926211002996977,0.8633719484910257,0.16424427601186156,0.8372347535727885,0.36231430479051907,0.7909955345136561,0.04623921905913241,0.007317326459803966,0.15544791996740753
0.15,0.28838531947036344,0.8067419082185651,0.11264819910306836,0.8830346135104261,0.4248867474927335,0.8398283037808849,0.043206309729541176,0.010350235789395203,0.10661515070017867
0.2,0.34183215023811664,0.7565753492765873,0.08243161880968056,0.9089461505484001,0.4709031549304492,0.8684265884163633,0.04051956213203674,0.013036983386899643,0.07801686606470029
0.25,0.38923282515613494,0.7095908119126932,0.06300747818160334,0.9248136717907479,0.5027122226135964,0.8868104391727267,0.03800323261802118,0.015553312900915198,0.05963301530833691
0.3,0.43351115737427626,0.6626062745487993,0.04899643815729503,0.9355579993982112,0.524117589224265,0.9000710962942056,0.035486903104005624,0.018069642414930753,0.0463723581868581
0.35,0.47516498784300104,0.612141401083876,0.038260267729029865,0.9430164533334043,0.5350252042412654,0.9102322745222302,0.0327841788111741,0.020772366707762276,0.036211179958833384
0.4,0.5160093445101003,0.560085516829911,0.029727037931092694,0.9483047394866688,0.5371447644478352,0.9183084940100706,0.029996245476598137,0.023560300042338243,0.028134960470992978
0.45,0.5541934438623967,0.5102172724108786,0.023225127590495002,0.9517876590679728,0.5312969194926223,0.9244621844935521,0.027325474574420777,0.0262310709445156,0.02198126998751155
0.5,0.5916661348988578,0.46099537612489433,0.018003342392680498,0.9540936287601818,0.5182204337133915,0.9294043089147297,0.024689319845452102,0.02886722567348428,0.01703914556633391
0.55,0.6292768421854759,0.4105802217471287,0.013687491911297174,0.9554782756885289,0.4969310386328078,0.9334890173533539,0.02198925833517509,0.03156728718376129,0.012954437127709714
0.6,0.669023913650321,0.3574802366628549,0.01000748380852704,0.9561173435016123,0.4659753726506805,0.936971936934658,0.019145406566954334,0.03441113895198204,0.009471517546405643
0.65,0.7055802007938361,0.30050216278029135,0.007095550791426819,0.9558217746380613,0.4214930785592246,0.9397279168785798,0.0160938577594815,0.037462687759454875,0.006715537602483844
0.7,0.7416194703811418,0.24088897727837716,0.004749123606633017,0.9548498590056638,0.363656834046386,0.9419486775290443,0.012901181476619438,0.04065536404231694,0.004494776952019321
0.75,0.7776360544217688,0.1818724208223537,0.0029428810974751994,0.9533986425134537,0.2947979207801104,0.9436581839290422,0.009740458584411539,0.04381608693452484,0.0027852705520214514
0.8,0.8164893617021277,0.12211007805896684,0.0015530309424534512,0.9515133924648579,0.21244755849660482,0.944973598510972,0.0065397939538859315,0.047016751565050446,0.0014698559700916263
0.85,0.8579017264276229,0.06423706060756725,0.0006020808363859394,0.9493139340748296,0.11952449234469678,0.9458736190143977,0.0034403150604318503,0.05011623045850453,0.0005698354666659566
0.9,0.8984126984126984,0.01407050166558942,9.003077927266384e-05,0.9471118129022466,0.02770706872919522,0.9463582454393192,0.0007535674629274099,0.05280297805600897,8.520904174444211e-05
0.95,,0.00014915726147267936,,,,0.9464434544810636,7.988347663541448e-06,0.05354855717127284,
1.0,,,,,,,,0.05355654551893638,
