Threshold,Precision,Recall,False positive rate,Accuracy,F1 Score,True negative percentage,True positive percentage,False negative percentage,False positive percentage
0.05,0.12331689369030843,0.9398399045393526,0.37894318319605447,0.6381663215421728,0.2180264242997445,0.5877238861729608,0.05044243536921205,0.003228870909207352,0.35860480754861984
0.1,0.13782428061362326,0.9384974891860985,0.3329686350037081,0.6816013064918984,0.24035143566562678,0.6312309203082638,0.050370386183634694,0.0033009200947847063,0.31509777341331685
0.15,0.15156253778383214,0.9348679958235967,0.2968099235543424,0.7156245330145379,0.2608375990123045,0.6654489464807976,0.050175586533740366,0.003495719744679034,0.280879747240783
0.2,0.16541479771036263,0.9295977725848953,0.2660060739190877,0.7444922400358644,0.2808538124136273,0.6945995132677241,0.04989272676814038,0.003778579510279017,0.2517291804538565
0.25,0.17991290938891097,0.9223387858598916,0.23844503159622255,0.7701844459150781,0.30109394273842754,0.7206813184467263,0.049503127468351726,0.0041681788100676725,0.2256473752748543
0.3,0.19565124524755437,0.9108536767264953,0.2123785004695021,0.7942355314561407,0.3221127218700824,0.7453488247977286,0.04888670665841214,0.004784599620007259,0.20097986892385203
0.35,0.21262888112956888,0.8992194103316263,0.18885263837622768,0.8158743035245394,0.3439318449777507,0.767612023141131,0.04826228038340841,0.005409025895010995,0.1787166705804496
0.4,0.2312649412742958,0.8849997514045642,0.16684384613866243,0.8359386674636552,0.3667040924588746,0.7884395747496958,0.0474990927139594,0.006172213564460005,0.15788911897188482
0.45,0.2520582372822602,0.8676477899865759,0.14601938352823074,0.8547141515274428,0.39063426863800693,0.8081463612492795,0.046567790278163226,0.007103516000256175,0.13818233247230108
0.5,0.275004849033426,0.8459205488987223,0.12648076451297263,0.8720379779262644,0.4150717849257754,0.8266363170591123,0.04540166086715198,0.008269645411267425,0.11969237666246825
0.55,0.3006029128681945,0.8230000497190871,0.10860020697570151,0.8877286894519992,0.4403623352265925,0.8435572017163717,0.04417148773562752,0.00949981854279188,0.1027714920052089
0.6,0.32906168100868777,0.7928205638144483,0.09168121230236499,0.9021198471489871,0.4650877909350756,0.8595681318446726,0.04255171530431441,0.01111959097410499,0.08676056187690796
0.65,0.3606673766418175,0.7577188882812111,0.07617777351669763,0.91490724334479,0.4887121600820934,0.8742394808189057,0.04066776252588434,0.013003543752535063,0.07208921290267489
0.7,0.3980218094142145,0.722269179137871,0.061954538661312744,0.9264644664090685,0.5132218120153327,0.8876993360800973,0.03876513032897124,0.014906175949448156,0.058629357641483255
0.75,0.43944636678200694,0.6756326753840799,0.04887897561126918,0.9363352048331661,0.532526060036053,0.9000731165809193,0.03626208825224687,0.017409218026172533,0.04625557714066136
0.8,0.4901265224074731,0.6182568488042559,0.03647735251571352,0.9449917810558675,0.5467856828774954,0.9118091283649639,0.033182652690903654,0.020488653587515743,0.03451956535661679
0.85,0.5528774957871624,0.5383085566548999,0.02469045289328908,0.9518551331041991,0.5454957678355502,0.9229634096876801,0.02889172341651901,0.02477958286190039,0.023365284033900476
0.9,0.6279103821935862,0.4263908914632327,0.014330388488316024,0.9556523920329612,0.5078913861005004,0.9327674359029097,0.022884956130051447,0.030786350148367954,0.01356125781867088
0.95,0.7384299941417691,0.25068363744841643,0.005036220747763168,0.9550172918045385,0.37429939497420284,0.9415627735200564,0.013454518284482207,0.04021678799393719,0.004765920201524241
1.0,,,,,,0.9463286937215806,,0.0536713062784194,
