Threshold,Precision,Recall,False positive rate,Accuracy,F1 Score,True negative percentage,True positive percentage,False negative percentage,False positive percentage
0.05,0.05363895778328933,1.0,1.0,0.05363895778328933,0.10181658031350374,0.0,0.05363895778328933,0.0,0.9463610422167107
0.1,0.05363895778328933,1.0,1.0,0.05363895778328933,0.10181658031350374,0.0,0.05363895778328933,0.0,0.9463610422167107
0.15,0.05363895778328933,1.0,1.0,0.05363895778328933,0.10181658031350374,0.0,0.05363895778328933,0.0,0.9463610422167107
0.2,0.05363895778328933,1.0,1.0,0.05363895778328933,0.10181658031350374,0.0,0.05363895778328933,0.0,0.9463610422167107
0.25,0.05364010219702263,1.0,0.9999774557075104,0.053660292823425874,0.10181864202999431,2.1335040136544257e-05,0.05363895778328933,0.0,0.9463397071765741
0.3,0.1694501244460071,0.9105553622035499,0.25296105191668755,0.7558097981171827,0.28572765851223164,0.7069685574845987,0.04884124063258394,0.00479771715070539,0.23939248473211192
0.35,0.1997515833762281,0.8875354248495998,0.20153188467467176,0.8032455929807718,0.3261082033997388,0.7556391177960904,0.04760647518468144,0.0060324825986078886,0.1907219244206203
0.4,0.21915596605842155,0.8706309352160294,0.17582011909022507,0.8266714670506974,0.35016747487876815,0.779971731071819,0.04669973597887831,0.006939221804411019,0.16638931114489158
0.45,0.2631612140323216,0.8298612837468304,0.13169812065141734,0.8662399658639358,0.3996025760731643,0.8217270714990532,0.044512894364882524,0.009126063418406806,0.12463397071765742
0.5,0.32512575559031154,0.7648287177447423,0.0899827254358798,0.9022295116942689,0.4562860575140522,0.8612048963917114,0.041024615302557535,0.012614342480731792,0.08515614582499934
0.55,0.3557027510515883,0.7315666484363347,0.0751063104292715,0.9145238285729526,0.47866751248393763,0.8752833560018135,0.03924047257113902,0.014398485212150305,0.0710776862148972
0.6,0.3865399322626461,0.7036245214537861,0.06329310116469451,0.9242046030349095,0.49896870868223886,0.8864629170333627,0.03774168600154679,0.01589727178174254,0.059898125183348
0.65,0.453240952414448,0.640729876199473,0.04380919638051384,0.9392698082513268,0.5309191282494954,0.904901725471371,0.03436808277995573,0.0192708750033336,0.041459316745339626
0.7,0.6517522966995577,0.3809476458012231,0.011537041681578777,0.9558764701176095,0.480843452885249,0.9354428354268342,0.020433634690775263,0.03320532309251407,0.010918206789876523
0.75,,0.0,0.0,0.9463610422167107,,0.9463610422167107,0.0,0.05363895778328933,0.0
0.8,,0.0,0.0,0.9463610422167107,,0.9463610422167107,0.0,0.05363895778328933,0.0
0.85,,0.0,0.0,0.9463610422167107,,0.9463610422167107,0.0,0.05363895778328933,0.0
0.9,,0.0,0.0,0.9463610422167107,,0.9463610422167107,0.0,0.05363895778328933,0.0
0.95,,0.0,0.0,0.9463610422167107,,0.9463610422167107,0.0,0.05363895778328933,0.0
1.0,,,,,,0.9463610422167107,,0.05363895778328933,
