Threshold,Precision,Recall,False positive rate,Accuracy,F1 Score,True negative percentage,True positive percentage,False negative percentage,False positive percentage
0.0,0.05359422089463152,1.0,1.0,0.05359422089463152,0.10173598114295541,0.0,0.05359422089463152,0.0,0.9464057791053685
0.05,0.05359422089463152,1.0,1.0,0.05359422089463152,0.10173598114295541,0.0,0.05359422089463152,0.0,0.9464057791053685
0.1,0.10573724203098703,0.9402376572366131,0.45031393417236815,0.5706173740883547,0.1900966013610639,0.5202260693929648,0.05039130469538988,0.003202916199241639,0.4261797097124037
0.15,0.14393182390550235,0.8808730671704867,0.2966917250893938,0.7128247216100916,0.24743376674161702,0.665615015868025,0.047209705742066656,0.006384515152564865,0.28079076323734353
0.2,0.20472969416223613,0.7734798389101576,0.17014669031731283,0.8268320174375071,0.32376354044182687,0.7853779680934122,0.04145404934409499,0.012140171550536528,0.16102781101195632
0.25,0.2308464736800816,0.7315169293491771,0.13802404482360559,0.8549841053285121,0.35094456635817195,0.8157790254288098,0.03920507989970236,0.01438914099492916,0.13062675367655877
0.3,0.27282931797867255,0.6525630189429722,0.0984936790832559,0.8881643986005228,0.38478452066842567,0.8531907920156255,0.03497360658489727,0.018620614309734253,0.09321498708974293
0.35,0.3241717299094348,0.5623725948391588,0.06639355801447194,0.9137104531780017,0.41127170257249346,0.8835705321051047,0.030139921072896987,0.023454299821734532,0.0628352470002638
0.4,0.3637901861252115,0.4917217719882663,0.048697806684123095,0.9266713386963972,0.41819065942197514,0.9003178934297583,0.026353445266638777,0.027240775627992743,0.04608788567561014
0.45,0.4055308545463429,0.41266842340774623,0.034256834755187655,0.9361015553595553,0.4090685066535239,0.9139849127192012,0.02211664264035408,0.03147757825427744,0.03242086638616724
0.5,0.4521768251841929,0.33565355740068614,0.023028408930934482,0.9426006507089316,0.38529806238050396,0.9246115598095304,0.01798909089940125,0.035605129995230266,0.021794219295838073
0.55,0.4995159728944821,0.2565504897330085,0.01455640960666723,0.9463791325479705,0.33899418585553326,0.9326295089305937,0.013749623617376753,0.03984459727725476,0.01377627017477477
0.6,0.5421868569076691,0.19648983244667628,0.009395500746121575,0.9480445423853465,0.2884460988249033,0.9375138229016502,0.010530719483696304,0.043063501410935213,0.00889195620371826
0.65,0.5845734646824565,0.13866653408243423,0.005580426274741673,0.9485561562873884,0.22416010287735091,0.9411244314290815,0.007431724858306931,0.046162496036324586,0.005281347676286962
0.7,0.6277548209366391,0.0906378958882315,0.0030436129177576934,0.9483829536643014,0.1584046574271191,0.9435252862506428,0.004857667413658492,0.04873655348097303,0.0028804928547256337
0.75,0.6806543385490754,0.047581166409784714,0.0012641833488188754,0.9477594242211878,0.08894465356196848,0.9452093486781975,0.0025500755429902233,0.05104414535164129,0.0011964304271709616
0.8,0.7798657718120805,0.028886789638542236,0.0004617507109271616,0.9475169405488658,0.05571003931345287,0.945968775564041,0.0015481649848247856,0.05204605590980673,0.0004370035413274782
0.85,0.8359133126934984,0.013424153532541143,0.00014922431511670467,0.9469840094009054,0.026423957721667644,0.946264552351159,0.000719457049746458,0.05287476384488506,0.0001412267542094899
0.9,,0.0,0.0,0.9464057791053685,,0.9464057791053685,0.0,0.05359422089463152,0.0
0.95,,0.0,0.0,0.9464057791053685,,0.9464057791053685,0.0,0.05359422089463152,0.0
1.0,,0.0,0.0,0.9464057791053685,,0.9464057791053685,0.0,0.05359422089463152,0.0
